obj|statement|label|book|page
d467599a-bd6e-4843-a1bf-1a835e0660df|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
d4817291-da07-4434-b883-179c1ecc9b9f|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
d4903b69-733f-48e7-9ee1-4c9fd725fcc9|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
d6d7c1fb-0664-4873-9371-ab1b20b29212|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
d91c86d4-150f-4ce0-a08a-8912d8582f7a|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
dc0620b5-4aef-4141-a3ca-b44b8ff222b3|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
e3816d76-1824-4cc9-95d4-eebfc6ea144c|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
e4becfc0-90de-4c14-b40a-34c1962c04bc|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
e8cc4fb2-4efc-4b90-9b34-4c78cd5be14e|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
e9c47c62-45c5-41a6-bfdc-522e8813de58|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
eab38a5a-aaa2-41a1-b17b-0b91cbab006c|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
ec155409-70c4-45d9-9f73-b2e2ea040284|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
ec2128a1-ff6a-4a7a-9710-f9503a313b59|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
ecec571f-447c-4651-acdd-c3f8bba4991d|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
